country,continent,idacr,leader,plad_id,archigos_id,startdate,enddate,entry,exit,gender,yrborn
Afghanistan,Asia,AFG,Najibullah,AFG_1986_1,8243611b-1e42-11e4-b4cd-db5882bf8def,1986-05-04,1992-04-16,Irregular,Irregular,M,1947
Afghanistan,Asia,AFG,Burhanuddin Rabbani,AFG_1992_2,8243611d-1e42-11e4-b4cd-db5882bf8def,1992-06-28,1996-09-27,Regular,Irregular,M,1939
Afghanistan,Asia,AFG,Mullah Omar,AFG_1996_1,8243611e-1e42-11e4-b4cd-db5882bf8def,1996-09-27,2001-11-13,Irregular,Irregular,M,1959
Afghanistan,Asia,AFG,Hamid Karzai,AFG_2001_1,8243611f-1e42-11e4-b4cd-db5882bf8def,2001-12-22,2014-09-29,Foreign Imposition,Regular,M,1957
Afghanistan,Asia,AFG,Ashraf Ghani Ahmadzai,AFG_2014_1,14a038b0-aae0-11e4-b3bc-29f2fa19767e,2014-09-29,2021-08-14,Regular,Irregular,M,1949
Afghanistan,Asia,AFG,Hibatullah Akhundzada,AFG_2021_1,.,2021-08-14,2023-12-31,Irregular,Still in Office,M,.
Albania,Europe,ALB,Alia,ALB_1985_1,821a8f09-1e42-11e4-b4cd-db5882bf8def,1985-04-13,1992-04-03,Regular,Regular,M,1925
Albania,Europe,ALB,Berisha,ALB_1992_1,35b38fe8-3bbd-11e5-afeb-eb6f07f9fec7,1992-04-09,1997-07-24,Regular,Regular,M,1944
Albania,Europe,ALB,Fatos Nano,ALB_1997_1,821abfda-1e42-11e4-b4cd-db5882bf8def,1997-07-24,1998-10-02,Regular,Regular,M,1952
Albania,Europe,ALB,Majko,ALB_1998_1,821abfdb-1e42-11e4-b4cd-db5882bf8def,1998-10-02,1999-10-29,Regular,Regular,M,1967
Albania,Europe,ALB,Meta,ALB_1999_1,821abfdc-1e42-11e4-b4cd-db5882bf8def,1999-10-29,2002-02-22,Regular,Regular,M,1969
Albania,Europe,ALB,Fatos Nano,ALB_2002_2,821abfda-1e42-11e4-b4cd-db5882bf8def,2002-07-31,2005-09-11,Regular,Regular,M,1952
Albania,Europe,ALB,Berisha,ALB_2005_1,35b38fe8-3bbd-11e5-afeb-eb6f07f9fec7,2005-09-11,2013-09-15,Regular,Regular,M,1944
Albania,Europe,ALB,Rama,ALB_2013_1,149e63e7-aae0-11e4-b3bc-29f2fa19767e,2013-09-15,2023-12-31,Regular,Still in Office,M,1964
Algeria,Africa,ALG,Benjedid,ALG_1979_1,823bf0a6-1e42-11e4-b4cd-db5882bf8def,1979-02-07,1992-01-11,Regular,Irregular,M,1929
Algeria,Africa,ALG,Kafi,ALG_1992_2,823bf0a8-1e42-11e4-b4cd-db5882bf8def,1992-07-02,1994-01-31,Regular,Regular,M,1928
Algeria,Africa,ALG,Zeroual,ALG_1994_1,823bf0a9-1e42-11e4-b4cd-db5882bf8def,1994-01-31,1999-04-27,Regular,Regular,M,1941
Algeria,Africa,ALG,Bouteflika,ALG_1999_1,823bf0aa-1e42-11e4-b4cd-db5882bf8def,1999-04-27,2019-04-02,Regular,Irregular,M,1937
Algeria,Africa,ALG,Abdelmadjid Tebboune,ALG_2019_2,.,2019-12-19,2023-12-31,Regular,Still in Office,M,1945
Angola,Africa,ANG,Dos Santos,ANG_1979_1,8233edb6-1e42-11e4-b4cd-db5882bf8def,1979-09-10,2017-09-25,Regular,Regular,M,1942
Angola,Africa,ANG,Joao Lourenco,ANG_2017_1,.,2017-09-25,2023-12-31,Regular,Still in Office,M,1954
Argentina,Americas,ARG,Menem,ARG_1989_1,82046e88-1e42-11e4-b4cd-db5882bf8def,1989-07-08,1999-12-10,Regular,Regular,M,1930
Argentina,Americas,ARG,de la Rua,ARG_1999_1,82046e89-1e42-11e4-b4cd-db5882bf8def,1999-12-10,2001-12-21,Regular,Regular,M,1937
Argentina,Americas,ARG,Eduardo Duhalde,ARG_2002_1,82049f5d-1e42-11e4-b4cd-db5882bf8def,2002-01-02,2003-05-25,Regular,Regular,M,1941
Argentina,Americas,ARG,Nestor Kirchner,ARG_2003_1,82049f5e-1e42-11e4-b4cd-db5882bf8def,2003-05-25,2007-12-10,Regular,Regular,M,1950
Argentina,Americas,ARG,Fernandez de Kirchner,ARG_2007_1,8250bb5e-1e42-11e4-b4cd-db5882bf8def,2007-12-10,2015-12-10,Regular,Regular,F,1953
Argentina,Americas,ARG,Mauricio Macri,ARG_2015_1,43f5aea2-de6a-11e5-ba44-bb6d7c1a9a58,2015-12-10,2019-12-10,Regular,Regular,M,1959
Argentina,Americas,ARG,Alberto Fernandez,ARG_2019_1,.,2019-12-10,2023-12-10,Regular,Regular,M,1959
Armenia,Asia,ARM,Ter-Petrosyan,ARM_1991_1,82235551-1e42-11e4-b4cd-db5882bf8def,1991-10-16,1998-02-03,Regular,Regular,M,1945
Armenia,Asia,ARM,Kocharian,ARM_1998_1,82235552-1e42-11e4-b4cd-db5882bf8def,1998-02-04,2008-04-09,Regular,Regular,M,1954
Armenia,Asia,ARM,Sargsyan,ARM_2008_1,82530552-1e42-11e4-b4cd-db5882bf8def,2008-04-09,2018-04-09,Regular,Regular,M,1954
Armenia,Asia,ARM,Armen Sarkissian,ARM_2018_1,.,2018-04-09,2022-02-01,Regular,Regular,M,1953
Armenia,Asia,ARM,Vahagn Khachaturyan,ARM_2022_2,.,2022-03-13,2023-12-31,Regular,Still in Office,M,1959
