"","ccode","idacr","country","year","tstart","tstop","leader","age","group","survival_time","status","GDP_trend","GDP_pc","pop_log","polity5","polstab"
"1",40,"CUB","Cuba",1954,1954.18630136986,1959,"Batista",53,"A",1758,2,1.00966733011089,3.551,6.49979606317154,-9,0
"2",41,"HAI","Haiti",1950,1950.35342465753,1956.94794520548,"Magloire",43,"B",2408,2,0.984283080165071,2.242,5.80026469462577,-5,0
"3",41,"HAI","Haiti",1961,1961.78630136986,1971.30410958904,"Duvalier, Francois",54,"A",3476,1,0.860746139829289,1.795,5.97960702371878,-7,0
"4",41,"HAI","Haiti",1986,1986.10136986301,1988.10136986301,"Namphy",54,"B",730,1,0.951224448492208,1.88,6.50040940333899,-7,0
"5",41,"HAI","Haiti",1988,1988.71232876712,1990.18630136986,"Avril",50,"B",539,2,0.954702736709657,1.821,6.53856520361368,-7,0
"6",41,"HAI","Haiti",1991,1991.74520547945,1994.78356164384,"Cedras",42,"B",1110,2,0.980295566502463,1.791,6.60531551213312,-7,1
"7",42,"DOM","Dominican Republic",1952,1952.62465753425,1961.40821917808,"Rafel Trujillo",61,"A",3209,2,1.04146436201204,2.145,5.59708031866059,-9,0
"8",42,"DOM","Dominican Republic",1961,1961.40821917808,1962.04383561644,"Balaguer",54,"B",232,2,1.03979678238781,2.456,5.88774435205509,-3,0
"9",42,"DOM","Dominican Republic",1962,1962.04931506849,1963.15616438356,"Filiberto Bonnelly",58,"B",404,1,1.09511889862328,2.625,5.93178088869659,-3,0
"10",42,"DOM","Dominican Republic",2016,2016.62465753425,2020.62465753425,"Medina",65,"A",1461,1,1.15647537900469,14.143,7.00671153105195,7,0
"11",90,"GUA","Guatemala",1963,1963.24383561644,1966.49589041096,"Peralta Azurdia",55,"B",1188,1,1.05591594979552,2.995,6.18359409789302,-5,0
"12",90,"GUA","Guatemala",1982,1982.22191780822,1983.6,"Rios Montt",56,"B",503,2,0.967843631778058,4.605,6.64039334695234,-7,5
"13",90,"GUA","Guatemala",1983,1983.6,1986.03561643836,"Mejia Victores",53,"B",890,1,0.938156899016228,4.463,6.66546585965815,-7,5
"14",91,"HON","Honduras",1956,1956.80547945205,1957.9698630137,"Hector Caraccioli",34,"B",426,1,0.994597891435044,2.283,5.21053478316428,-1,0
"15",91,"HON","Honduras",1963,1963.75342465753,1971.42739726027,"Lopez Arellano",42,"B",2803,1,1.02033751622674,2.358,5.4431274153317,-1,0
"16",91,"HON","Honduras",1972,1972.92602739726,1975.30410958904,"Lopez Arellano",51,"B",869,2,1.02184990735022,2.647,5.72666532052494,-1,1
"17",91,"HON","Honduras",2009,2009.48767123288,2010.07123287671,"Micheletti",61,"B",213,1,1.03352382896214,4.051,6.74414987713403,7,0
"18",91,"HON","Honduras",2018,2018.07123287671,2022.07123287671,"Hernández",50,"A",1461,1,1.07146021619706,4.837,6.90635529946797,7,0
"19",92,"SAL","El Salvador",1961,1961.06575342466,1962.06575342466,"Portillo",47,"B",365,1,0.994363929146538,1.482,5.60663627706894,-3,0
"20",92,"SAL","El Salvador",1979,1979.78630136986,1980.93424657534,"Majano Ramos",41,"B",419,2,1.00897458681358,2.271,6.10761513994322,6,6
"21",93,"NIC","Nicaragua",1955,1955,1956.74520547945,"Anastasio Somoza Garcia",59,"A",637,2,1.1301851747622,4.016,5.04988164794645,-8,0
"22",93,"NIC","Nicaragua",1973,1973.32876712329,1979.5397260274,"Anastasio Somoza Debayle",48,"A",2268,2,1.05007655902004,6.035,5.61437185815552,-8,0
"23",93,"NIC","Nicaragua",2012,2012.02465753425,2023.90410958904,"Daniel Ortega",67,"A",4339,1,1.08314321926489,4.273,6.44787463895058,9,0
"24",95,"PAN","Panama",1978,1978.77808219178,1981.57808219178,"Torrijos Herrera",49,"A",1023,1,1.03643875512208,6.121,5.29849735034998,-6,0
"25",100,"COL","Colombia",1953,1953.44657534247,1957.35342465753,"Rojas Pinillia",53,"B",1427,2,1.06654901514289,3.747,7.21938871375642,-5,5
"26",100,"COL","Colombia",2006,2006.6,2010.59726027397,"Alvaro Uribe Velez",54,"A",1460,1,1.11551967893465,9.784,8.41622656403308,7,4
"27",101,"VEN","Venezuela",1953,1953.86575342466,1958.0602739726,"Perez Jimenez",39,"A",1532,2,1.14742068448664,7.349,6.43151785998052,-3,0
"28",101,"VEN","Venezuela",2009,2009.08767123288,2012.17534246575,"Hugo Chavez",55,"A",1127,1,1.1329904358496,13.481,7.98996172474432,-3,0
"29",115,"SUR","Suriname",1980,1980.61643835616,1988.06575342466,"Bouterse",34,"B",2721,1,1.03397578122912,7.736,3.63645394006017,-1,0
"30",130,"ECU","Ecuador",1961,1961.84931506849,1963.52328767123,"Arosemena Monroy",42,"B",611,2,1.05549108555755,4.002,6.21082896649011,1,0
"31",130,"ECU","Ecuador",1963,1963.52328767123,1966.23835616438,"Castro",48,"B",992,2,1.04546150313792,4.098,6.26678869903711,-6,0
"32",130,"ECU","Ecuador",1972,1972.12328767123,1976.02739726027,"Rodriguez Lara",49,"B",1426,2,1.08783783783784,4.991,6.52208544520194,-5,0
"33",130,"ECU","Ecuador",1976,1976.02739726027,1979.60547945205,"Poveda Burbano",50,"B",1307,1,1.18671474239833,6.385,6.65000993087785,-5,0
"34",130,"ECU","Ecuador",2011,2011.03835616438,2017.39178082192,"Rafael Correa",48,"A",2321,1,1.10015883397178,9.42,7.38571467700651,5,0
"35",135,"PER","Peru",1962,1962.54520547945,1963.16712328767,"Perez Godoy",57,"B",227,2,1.12924620797047,3.916,7.01564688871709,-6,0
"36",135,"PER","Peru",1968,1968.75616438356,1975.65753424658,"Velasco Alvarado",58,"B",2521,2,1.05137505165052,4.58,7.18565591881664,-7,0
"37",135,"PER","Peru",1975,1975.6602739726,1980.57260273973,"Morales Bermudez",54,"B",1794,1,1.06360181141841,5.261,7.38084601321203,-7,0
"38",135,"PER","Peru",1995,1995.5698630137,2000.89315068493,"Fujimori",57,"A",1944,1,1.15766389658356,5.015,7.84720886860228,-1,4
"39",140,"BRA","Brazil",1954,1954.64383561644,1955.85205479452,"Cafe Filho",55,"B",441,1,1.08588351431392,2.2,8.74238791763215,5,0
"40",140,"BRA","Brazil",2000,2000,2003,"Cardoso",69,"A",1096,1,1.00628217630916,8.874,9.83297103875269,8,0
"41",145,"BOL","Bolivia",1951,1951.3698630137,1952.27671232877,"Ballivian Rojas",49,"B",331,2,0.999493499915583,2.368,5.7268770631184,-5,0
"42",145,"BOL","Bolivia",1964,1964.84931506849,1966.01095890411,"Barrientos Ortuna",45,"B",425,1,1.08483717071147,2.092,6.01538857172735,-4,0
"43",145,"BOL","Bolivia",1969,1969.73424657534,1970.76164383562,"Ovando Candia",51,"B",375,2,1.05704847781448,2.368,6.1155035290179,-4,0
"44",145,"BOL","Bolivia",1970,1970.76438356164,1971.63835616438,"Torres",49,"B",319,2,1.04600505358543,2.401,6.13919250247023,-5,0
"45",145,"BOL","Bolivia",1971,1971.63835616438,1978.55068493151,"Banzer Suarez",45,"B",2525,2,1.05346314800581,2.467,6.16026172708205,-7,0
"46",145,"BOL","Bolivia",1978,1978.89589041096,1979.6,"Padilla Aranciba",51,"B",257,1,1.04788513226765,2.963,6.31212674685435,-4,0
"47",145,"BOL","Bolivia",1981,1981.59178082192,1982.54520547945,"Torrelio Villa",48,"B",348,2,0.976722025592159,2.87,6.37977671439819,-7,0
"48",145,"BOL","Bolivia",2011,2011.05753424658,2019.85753424658,"Juan Morales",52,"A",3214,2,1.12407185628743,4.693,6.9850477466719,7,0
"49",150,"PAR","Paraguay",1967,1967.52328767123,1989.0904109589,"Stroessner",55,"A",7878,2,1.06566152199126,2.389,5.50406243828558,-8,0
"50",150,"PAR","Paraguay",1989,1989.0904109589,1993.61917808219,"Rodriguez Pedotti",65,"B",1654,1,1.07283212302435,5.023,6.08810111959176,2,0
"51",155,"CHL","Chile",1980,1980.69589041096,1990.18904109589,"Pinochet",65,"A",3468,1,1.1477629569877,7.968,7.09278732574369,-7,0
"52",160,"ARG","Argentina",1952,1952.42465753425,1955.71780821918,"Peron",57,"A",1203,2,0.775582256135755,5.448,7.44843636001235,-9,0
"53",160,"ARG","Argentina",1955,1955.86575342466,1958.32876712329,"Aramburu",52,"B",900,1,1.00116578938072,5.668,7.51160337683899,5,2
